id,pCa,ktr,sd_ktr
sample_13,6.2,1.71865595391347,0.0803479688045039
sample_13,9,4.98052826513909,7.90319949344308
sample_14,4.5,2.83284754347899,0.0300627023950414
sample_14,5.2,2.87539541797006,0.0302456568404355
sample_14,5.4,2.85876045471995,0.0393012876085898
sample_14,5.6,2.58760367676971,0.024265744629487
sample_14,5.7,2.32400288970355,0.0154995478040945
sample_14,5.8,2.06459275867523,0.0304037357392763
sample_14,5.9,1.72571668855595,0.0162025204822275
sample_14,6,1.37855123431949,0.0524738597207951
sample_14,6.1,0.994510475295726,0.030530201775754
sample_14,6.2,0.651358163496059,0.0523752589565136
sample_14,9,0.61083940693363,0.851829463909664
sample_15,4.5,15.3670797013697,0.510539605159506
sample_15,5.2,7.8430642268075,0.286461431149313
sample_15,5.4,5.69352572754195,0.411473325517437
sample_15,5.6,2.44308541554811,1.54300012461078
sample_15,5.7,2001.34534221474,4471.38409992948
sample_15,5.8,2.85402817135014,0.166070632411358
sample_15,5.9,2.26223669044161,0.195318009372652
sample_15,6,1.00642957705666,0.234382462809941
sample_15,6.1,0.0507643801013252,0.113457374527316
sample_15,6.2,1.89725705103755e-05,1.63991252010508e-06
sample_15,9,1.52200658863132,2.26834230752796
sample_16,4.5,25.9177152453219,0.3521975557478
sample_16,5.2,25.2210142323719,0.25709767860585
sample_16,5.4,23.6553314984225,0.389701820560567
sample_16,5.6,20.4147314403476,0.2486640050631
sample_16,5.7,18.183571854803,0.391575284205053
sample_16,5.8,15.7077831541304,0.257323572773929
sample_16,5.9,13.2595875483022,0.209824351722586
sample_16,6,10.7725042522091,0.238928943276599
sample_16,6.1,8.77073335675521,0.308620096878339
sample_16,6.2,6.75133152644928,0.25907030310041
sample_16,9,3.17054156479137,2.46838557299938
sample_17,4.5,14.9519716172668,1.05229288915562
sample_17,5.2,15.5547752527298,0.775620021336982
sample_17,5.4,13.6138510053439,0.944996609910417
sample_17,5.6,13.1347843815602,1.0485651340398
sample_17,5.7,10.5922821421747,1.55895993747887
sample_17,5.8,10.292777456393,1.28662689272885
sample_17,5.9,11.7623346042057,0.7572066114154
sample_17,6,11.4279427181761,1.10785393465611
sample_17,6.1,7.5251409625015,0.812944296572914
sample_17,6.2,2.86241050058707,0.566705312133577
sample_17,9,5.45983147898444,5.47863723990925
sample_18,4.5,8.39852296032902,0.713621361793746
sample_18,5.2,7.19522870192149,0.680972112727427
sample_18,5.4,5.40284605369173,1.36832619423575
sample_18,5.6,5.17659088210222,0.392311504808964
sample_18,5.7,3.03693692310216,1.08525628906897
sample_18,5.8,3.73041939277434,0.301899055945246
sample_18,5.9,1.91535878249303,0.915011453233879
sample_18,6,1.32309837082877,0.389229026193165
sample_18,6.1,1.31657675933391,1.03310321623132
sample_18,6.2,0.463957277552458,0.0775595403082781
sample_18,9,2.99842395787425,6.05633034368147
sample_19,4.5,14.3724448032779,0.294670302737077
sample_19,5.2,12.7272948228749,0.993816338911707
sample_19,5.4,12.1195019293625,1.14355268411679
sample_19,5.6,9.51965794978321,1.544130454909
sample_19,5.7,9.3070283884555,0.723907574217462
sample_19,5.8,7.81245169039506,1.25003085803062
sample_19,5.9,7.03916590390726,1.88166491252827
sample_19,6,7.95854645033678,1.31281427751499
sample_19,6.1,4.86377861902779,1.93458719147863
sample_19,6.2,6.22754600025342,1.2353659966874
sample_19,9,3.07641826881558,4.57800718189828
